country,gdp,imr,it,le
Afghanistan,1350.0,77.4,76,57.6
Albania,8150.0,17.8,9,76.2
Algeria,10800.0,29.0,24,72.9
Andorra,61300.0,5.4,9,81.4
Angola,6130.0,101.0,119,56.4
Antigua and Barbuda,20700.0,10.6,3,75.9
Argentina,19500.0,14.8,18,75.3
Armenia,7500.0,21.2,32,73.0
Australia,43700.0,4.8,3,81.2
Austria,49700.0,4.1,6,79.8
Azerbaijan,7320.0,44.2,34,67.3
Bahamas,37900.0,14.5,19,73.2
Bahrain,45900.0,9.1,19,72.7
Bangladesh,2670.0,49.3,102,67.4
Barbados,16300.0,14.4,2,75.2
Belarus,12300.0,6.7,27,68.8
Belgium,46700.0,4.2,6,79.3
Belize,9740.0,17.9,21,72.4
Benin,2540.0,76.6,39,58.8
Bhutan,5410.0,44.7,121,69.0
Bolivia,5710.0,43.2,90,69.0
Bosnia and Herzegovina,8780.0,7.8,23,75.3
Botswana,12600.0,41.4,294,49.9
Brazil,12700.0,22.0,27,72.8
Brunei,72200.0,7.7,30,73.0
Bulgaria,14900.0,11.0,18,71.1
Burkina Faso,1500.0,80.6,101,55.3
Burundi,808.0,78.3,165,50.3
Cambodia,2180.0,52.9,222,63.7
Cameroon,3220.0,78.2,82,55.0
Canada,45500.0,5.2,2,80.4
Cape Verde,5320.0,23.5,69,71.8
Central African Republic,1000.0,101.0,148,45.2
Chad,1640.0,92.6,133,53.7
Chile,18800.0,7.7,8,77.9
China,5560.0,19.5,45,73.0
Colombia,10400.0,18.3,20,76.5
Comoros,2810.0,62.3,21,64.1
"Congo, Dem. Rep.",751.0,95.6,183,56.1
"Congo, Rep.",4710.0,56.8,178,57.0
Costa Rica,14100.0,9.9,6,79.4
Cote d'Ivoire,3440.0,85.5,181,53.5
Croatia,23900.0,5.8,18,75.6
Cuba,6560.0,5.9,4,77.7
Cyprus,37700.0,4.0,2,77.9
Czech Republic,30500.0,3.5,5,76.4
Denmark,52100.0,4.1,4,78.3
Djibouti,2850.0,71.1,330,61.4
Dominica,10300.0,16.8,7,72.6
Dominican Republic,10300.0,29.9,39,72.6
Ecuador,9690.0,20.0,58,73.6
Egypt,8630.0,29.4,10,68.8
El Salvador,7060.0,21.1,23,73.6
Equatorial Guinea,29300.0,93.2,113,61.1
Eritrea,1680.0,46.2,40,57.7
Estonia,26500.0,5.6,18,73.0
Eswatini,6430.0,70.0,422,43.3
Ethiopia,870.0,69.5,171,57.0
Fiji,10000.0,19.8,10,67.1
Finland,45300.0,3.1,3,79.3
France,42200.0,3.3,6,80.6
Gabon,15200.0,47.8,133,61.1
Gambia,2070.0,53.2,109,62.2
Georgia,7470.0,21.0,37,71.0
Germany,44500.0,3.9,3,79.6
Ghana,3100.0,55.2,89,60.0
Greece,34800.0,4.0,8,79.4
Grenada,13700.0,12.9,2,72.4
Guatemala,6880.0,34.4,35,68.4
Guinea,1780.0,85.3,112,56.0
Guinea-Bissau,1640.0,89.6,91,52.8
Guyana,7740.0,33.4,64,64.4
Haiti,2840.0,65.3,161,59.0
Honduras,4550.0,25.1,34,70.9
Hungary,24500.0,6.4,10,73.1
Iceland,48500.0,2.4,2,81.6
India,3320.0,55.7,75,65.4
Indonesia,6790.0,33.6,107,68.3
